brand,model,model_year,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Ford,Utility Police Interceptor Base,2013,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,10300.00
Hyundai,Palisade SEL,2021,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005.00
Lexus,RX 350 RX 350,2022,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,None reported,,54598.00
INFINITI,Q50 Hybrid Sport,2015,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,None reported,Yes,15500.00
Audi,Q3 45 S line Premium Plus,2021,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,None reported,,34999.00
Acura,ILX 2.4L,2016,Gasoline,2.4 Liter,F,Silver,Ebony.,None reported,,14798.00
Audi,S3 2.0T Premium Plus,2017,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,31000.00
BMW,740 iL,2001,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,None reported,Yes,7300.00
Lexus,RC 350 F Sport,2021,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,41927.00
Tesla,Model X Long Range Plus,2020,,534.0HP Electric Motor Electric Fuel System,A/T,Black,Black,None reported,Yes,69950.00
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,,73897.00
Aston,Martin DBS Superleggera,2019,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,184606.00
Toyota,Supra 3.0 Premium,2021,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,53500.00
Lincoln,Aviator Reserve AWD,2022,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,62000.00
Jaguar,F-TYPE,2020,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,None reported,,47998.00
Land,Rover LR4 HSE,2013,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990.00
Mercedes-Benz,Metris Base,2021,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None reported,Yes,250000.00
Dodge,Challenger SXT,2013,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16800.00
Nissan,350Z Enthusiast,2003,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,11000.00
Jaguar,F-TYPE R,2018,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,68750.00
Genesis,GV70 3.5T Sport,2023,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,,,60000.00
Chevrolet,S-10 LS,2000,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None reported,Yes,4500.00
BMW,440 Gran Coupe 440i xDrive,2020,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,,38598.00
Ford,F-150 XLT,2023,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504.00
Chevrolet,Suburban RST,2021,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,61000.00
Hyundai,Elantra N Base,2022,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300.00
Nissan,Sentra SR,2016,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,,13998.00
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995.00
BMW,650 Gran Coupe i xDrive,2015,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700.00
